topic_id,mean_rk,mean_all,log_ratio,pmi,tstat,pval,label,rank_lr,rank_pmi
78,0.01255869089553025,0.0012888693381168958,2.276646879339001,0.5066766309024202,20.741690229881,2.5779681260262157e-90,T78: controle financieel verantwoording jaarverslag goed beheer doelmatigheid,1,1
425,0.0046687116140882836,0.0009652158457189399,1.5762858544722143,0.3708487197323929,10.867097478349173,4.358277834585366e-27,T425: operatie privatisering overheid verzelfstandiging rijksdienst departement groot,2,4
302,0.003366235614078979,0.0008223823187476278,1.4093440567384237,0.3358859704727996,9.073169164250382,1.8581868617787601e-19,T302: parlementair commissie enquête onderzoek enquêtecommissie kamer verhoor,3,14
315,0.002069556815545821,0.0005199328364216599,1.3813886819325667,0.3242772761647435,6.075955208104665,1.36129243738758e-09,T315: paspoort kaart identificatieplicht identiteit nieuw document burger,4,33
281,0.004843241991503514,0.0013686593372522354,1.2637521305124286,0.3282368238214306,6.737155785923378,1.8733778098392668e-11,T281: land europees euro bank nederlands financieel financiën,5,26
129,0.006470701884866306,0.0018707391426507685,1.2409505893814625,0.38513810835053874,12.657934441208013,5.8719329087487896e-36,T129: begroting post uitgave jaar bedrag kamer financiën,6,3
490,0.008094594231840339,0.002385338287534604,1.2218552104893012,0.33462061704372315,12.496427749442383,4.1465325146667916e-35,T490: kamer conclusie politiek oordeel debat feit verantwoordelijkheid,7,15
128,0.002650893055480363,0.0008310116216191705,1.1600072582963517,0.3178272062436424,5.2646029487213974,1.4872845587201533e-07,T128: klacht ombudsman nationaal burger instituut overheid klachtrecht,8,43
210,0.0036105324343531637,0.0011516284088055795,1.1426777104032952,0.33931299549230276,8.21511235156932,2.925576377715384e-16,T210: bestuur burger bestuurlijk democratisch lokaal bestuurder democratie,9,11
317,0.0040500014745471465,0.0012979568707165098,1.1379253314375086,0.36639343213905634,9.430929519726195,7.060388714512209e-21,T317: toezicht toezichthouder controle onafhankelijk goed wet taak,10,5
65,0.004665740549477027,0.0016549079088035937,1.0365008145809007,0.3467845249190915,7.882978595468835,4.197535226123932e-15,T65: kabinet mld jaar lastenverlichting financiën staatschuld tekort,11,8
447,0.0035280523101749554,0.001311312150301815,0.9897172086727934,0.34620656616876183,8.918958976228188,7.311485361218172e-19,T447: begroting jaar minister kabinet financiën structureel geld,12,9
33,0.004199298675133336,0.0015823887189948514,0.9759815826011939,0.3184377114025578,6.623693001923988,4.0218790747844696e-11,T33: defensie krijgsmacht militair personeel taak defensienota materieel,13,40
122,0.0024710229177193088,0.0009992285432568963,0.9054033600254616,0.3199364318159229,8.451239244608558,4.124860942639811e-17,T122: publiek privaat overheid belang taak markt domein,14,37
240,0.005466499805099529,0.0023363194774557493,0.8500614589233138,0.31977723350151066,6.53373459613798,7.308739898881194e-11,T240: land minister hulp ontwikkelingsamenwerking ontwikkelingssamenwerking beleid nederlands,15,38
462,0.0024963033160469235,0.0011004358490314785,0.8191041281184548,0.33399746011693127,8.320911259298162,1.2210466601998983e-16,T462: project groot goed financiering geld uitvoering kader,16,17
161,0.0008842026137132085,0.0004023694933820576,0.7873140788583433,0.30803733642503245,2.433941366002369,0.014983709734401891,T161: sanering bodem bodemsanering geval grond bodembescherming kost,17,68
319,0.004808340122848979,0.0021935933227659435,0.7848107019953545,0.34165547584319034,12.72335297590036,2.5697541032889876e-36,T319: departement ambtenaar minister ambtelijk dienst ministerie taak,18,10
